tweet_id,favorites,retweets
892420643555336193,32859,6863
892177421306343426,28377,5169
891815181378084864,21330,3412
891689557279858688,35819,7074
891327558926688256,34249,7577
891087950875897856,17233,2544
890971913173991426,10050,1617
890729181411237888,55255,15415
890609185150312448,23780,3551
890240255349198849,27106,5971
890006608113172480,26234,6014
889880896479866881,23797,4062
889665388333682689,40840,8179
889638837579907072,22989,3642
889531135344209921,12956,1850
889278841981685760,21401,4351
888917238123831296,24864,3681
888804989199671297,21789,3453
888554962724278272,16822,2833
888078434458587136,18536,2837
887705289381826560,25790,4430
887517139158093824,39436,9618
887473957103951883,58511,14723
887343217045368832,28699,8585
887101392804085760,26120,4880
886983233522544640,29511,6175
886736880519319552,10202,2569
886680336477933568,19134,3661
886366144734445568,17987,2564
886267009285017600,101,4
886258384151887873,23816,5159
886054160059072513,0,90
885984800019947520,27793,5497
885528943205470208,30662,5218
885518971528720385,17370,3046
885311592912609280,0,15120
885167619883638784,18664,3599
884925521741709313,65422,14673
884876753390489601,23650,4566
884562892145688576,20666,3811
884441805382717440,23098,4706
884247878851493888,61778,16584
884162670584377345,17390,2450
883838122936631299,18553,2798
883482846933004288,38971,8087
883360690899218434,19337,3013
883117836046086144,31569,5425
882992080364220416,20381,3179
882762694511734784,24086,4020
882627270321602560,23850,4957
882268110199369728,38145,9386
882045870035918850,24938,3990
881906580714921986,20785,2787
881666595344535552,43194,8741
881633300179243008,112,8
881536004380872706,42155,13110
881268444196462592,19806,4369
880935762899988482,14546,2278
880872448815771648,18161,3148
880465832366813184,24319,5109
880221127280381952,22957,3395
880095782870896641,23554,3570
879862464715927552,19106,2864
879674319642796034,281,9
879492040517615616,20058,2574
879415818425184262,90318,36624
879376492567855104,14427,2606
879130579576475649,0,5605
879050749262655488,19206,3859
879008229531029506,16269,2199
878776093423087618,16565,3360
878604707211726852,25675,5796
878404777348136964,0,1049
878316110768087041,0,5415
878281511006478336,6578,1050
878057613040115712,35847,5605
877736472329191424,67346,15483
877556246731214848,19298,3092
877316821321428993,23458,4256
877201837425926144,23168,4524
876838120628539392,17657,2748
876537666061221889,20304,3876
876484053909872640,16061,1958
876120275196170240,23895,3829
875747767867523072,21444,3512
875144289856114688,18845,4075
875097192612077568,23486,4986
875021211251597312,21837,3880
874680097055178752,23785,3831
874434818259525634,0,11985
874296783580663808,22282,3406
874057562936811520,19399,3299
874012996292530176,29184,8409
873580283840344065,20721,3275
873337748698140672,0,1304
873213775632977920,6132,1304
872967104147763200,23365,4464
872820683541237760,12690,3094
872620804844003328,17706,2998
872486979161796608,34928,7499
872122724285648897,29338,6678
871879754684805121,32098,9070
871762521631449091,17333,2911
871515927908634625,17349,2879
871166179821445120,0,4786
871102520638267392,18008,4566
871032628920680449,19576,3161
870804317367881728,28895,5165
870726314365509632,101,3
870656317836468226,10547,2153
870374049280663552,71220,22080
870308999962521604,18880,3477
870063196459192321,31493,6934
869772420881756160,36692,8459
869702957897576449,24286,5290
869596645499047938,13707,2581
869227993411051520,17590,3136
868880397819494401,56341,12006
868639477480148993,0,1709
868622495443632128,22912,4370
868552278524837888,8661,1709
867900495410671616,20949,3497
867774946302451713,29419,6127
867421006826221569,13890,2082
867072653475098625,0,99
867051520902168576,27882,6661
866720684873056260,17344,4056
866686824827068416,16634,2908
866450705531457537,105676,29526
866334964761202691,45300,11985
866094527597207552,0,7024
865718153858494464,22204,4718
865359393868664832,22916,4196
865006731092295680,24314,6528
864873206498414592,27969,7328
864279568663928832,12664,2520
864197398364647424,25933,7413
863907417377173506,17895,3525
863553081350529029,13263,3567
863471782782697472,0,2040
863432100342583297,20636,4473
863427515083354112,1917,80
863079547188785154,7692,935
863062471531167744,7299,2040
862831371563274240,16721,4361
862722525377298433,14881,3025
862457590147678208,17759,4158
862096992088072192,64557,19601
